kategoria,produkt,opinia
Sport,Rakieta do Squasha,"Rakieta spełnia podstawowe funkcje, ale brak jej komfortu w dłuższym użytkowaniu."
Sport,Rakieta do Squasha,"Polecam każdemu, kto szuka sprzętu na najwyższym poziomie."
Zegarki i biżuteria,Naszyjnik,"Jest bardzo ładny i użytkowy, jednak zaskoczył mnie fakt że przy takiej cenie nie ma opcji regulacji naszyjnika. Poza tym wszystko super."
RTV,GPS,"GPS gubi sygnał i często się zawiesza, co czyni go nieużytecznym."
Odzież,Koszulka,"Ogólnie wygląda dobrze, gruby materiał. Tylko dla osób którym nie przeszkadza twarda nić wokół szyi. "
Zegarki i biżuteria,Naszyjnik,"To najlepszy naszyjnik, jaki kiedykolwiek miałam. Wygląda przepięknie, a jakość wykonania jest na bardzo wysokim poziomie. Kamienie są subtelne, a zapięcie działa bez zarzutu. Gorąco polecam każdemu, kto szuka eleganckiej biżuterii. "
RTV,telewizor,"Telewizor zawiesza się co chwilę, a jakość wykonania jest fatalna."
RTV,słuchawki,"To najlepsze słuchawki, jakie miałem okazję używać. Dźwięk jest bardzo czysty, a bas świetnie zbalansowany. Kabel jest wytrzymały i nie plącze się, a same słuchawki są niezwykle wygodne. Idealne do codziennego użytku!"
Zegarki i biżuteria,Bransoletka,"Polecam, świetny design! "
Odzież,Botki,"Nie zachwycają, ale spełniają swoje podstawowe funkcje."
Odzież,Botki,"Te botki to totalna porażka. Już po pierwszym dniu zaczęły się rozklejać, a materiał wygląda na bardzo tani. Wystająca podszewka wygląda nieestetycznie i niszczy cały efekt. Zdecydowanie odradzam zakup, są kompletnie niewarte swojej ceny."
telefony,Sony Ericsson K750i ,"Telefon w porządku, ale słuchawki są słabej jakości."
RTV,GPS,"Jest w porządku, choć mapy mogłyby być bardziej szczegółowe."
Zegarki i biżuteria,Zegarek,"Po kilku dniach użytkowania zegarek zaczął tracić dokładność, nie polecam."
Sport,Rakieta do Squasha,"Rakieta spełnia swoje podstawowe funkcje, ale jakość wykończenia mogłaby być lepsza. Owijka szybko się zużyła, a wyważenie sprawia, że kontrola nad piłką jest ograniczona. Nadaje się do rekreacyjnych gier, ale nie na turnieje."
Sport,Rowerek do ćwiczeń,"Rowerek jest idealny, lekki, wygodny i świetnie wygląda."
telefony,Samsung B2710 SOLID ,"Brakuje nowoczesnych funkcji, ale podstawowe działanie jest w porządku."
Odzież,Botki,"Na zdjęciach wyglądają świetnie, ale w rzeczywistości są źle wykonane."
Odzież,Koszulka,"Koszulka wygląda przyzwoicie, ale materiał jest delikatny i wymaga ostrożnego prania."
Zegarki i biżuteria,Bransoletka,Słabe zapięcie – bransoletka ciągle spada z ręki i łatwo ją zgubić.
Odzież,Torebka,"Ramiączka są trochę niewygodne, ale torebka wygląda ładnie."
Odzież,Torebka,"Torebka wygląda dobrze, ale ma kilka wad, które psują cały efekt."
Odzież,Koszulka,"Koszulka jest w porządku, ale po pierwszym praniu materiał stracił nieco na wyglądzie. Szwy są dobrze zrobione, ale sam materiał wymaga delikatnej pielęgnacji. Sprawdzi się jako ubranie na co dzień, ale nic więcej."
Odzież,Koszulka,"Jestem bardzo zadowolony z zakupu. Koszulka jest wykonana z wysokiej jakości materiałów, które są miękkie i przyjemne w dotyku. Krój jest bardzo uniwersalny i pasuje do różnych stylizacji. Świetny produkt!"
RTV,słuchawki,"Nieźle wyglądają, ale jakość dźwięku pozostawia niedosyt."
Sport,Rowerek do ćwiczeń,"Sprzęt nadaje się do lekkich treningów, ale nie dla bardziej zaawansowanych użytkowników."
Zegarki i biżuteria,Bransoletka,"Produkt jest w miarę OK, ale jakość wykonania mogłaby być znacznie lepsza."
RTV,GPS,Rewelacyjna nawigacja! 
AGD,odkurzacz,"est w miarę cichy, ale radzi sobie średnio z większymi zabrudzeniami. "
Odzież,Botki,"Nie są złe, ale cena nieadekwatna do jakości."
AGD,żelazko,"Żelazko wygląda na solidne, ale w praktyce wypada średnio. Funkcja pary działa tylko częściowo, a plastikowa obudowa sprawia wrażenie, że nie wytrzyma długo. "
Odzież,Koszulka,"Już po pierwszym praniu straciła swój fason, materiał wygląda fatalnie."
RTV,telewizor,Totalny bubel! 
AGD,odkurzacz,"Działa świetnie, sprawdza się zarówno na podłogach, jak i na dywanach. "
telefony,Sony Ericsson K750i ,"Telefon spełnia swoje podstawowe zadanie, ale dżojstik jest bardzo niewygodny w obsłudze. Wyświetlacz jest w miarę czytelny, ale aparat robi zdjęcia o bardzo przeciętnej jakości. Sprzęt nadaje się do codziennego użytku, ale nic ponadto."
telefony,Samsung B2710 SOLID ,"Kupiłem ten model, licząc na wytrzymałość, ale niestety zawiodłem się. Telefon ma bardzo mało pamięci, a bateria trzyma zaledwie dwa dni. Dodatkowo oprogramowanie jest przestarzałe i mało intuicyjne. "
AGD,żelazko,"Żelazko wyglądało świetnie w sklepie, ale to tylko pozory. Nie nagrzewa się równomiernie, a plastikowa rączka jest bardzo niewygodna w użytkowaniu. Nie polecam. "
AGD,żelazko,"Idealne do codziennego użytku, funkcja pary działa rewelacyjnie. "
Odzież,Botki,"Materiał mógłby być lepszy, ale za tę cenę są w porządku."
RTV,GPS,"Bateria jest za słaba, by używać GPS bez podłączonego zasilania."
telefony,Samsung B2710 SOLID ,"Telefon jest w porządku, jeśli szukasz czegoś wytrzymałego i prostego. Działa dobrze w podstawowym zakresie, ale pamięć jest bardzo ograniczona, a synchronizacja z komputerem to prawdziwe wyzwanie."
telefony,Sony Ericsson K750i ,Jak robię zdjęcia i naciskam to muszę długo trzymać zanim zrobi a tak to wspaniały telefon 
Zegarki i biżuteria,Bransoletka,"Produkt wygląda ładnie, ale kamienie szybko tracą swój blask."
telefony,Sony Ericsson K750i ,"Menu jest trochę skomplikowane, ale ogólnie telefon działa poprawnie. "
Sport,Rakieta do Squasha,"Jest OK, ale brak precyzji w uderzeniach jest wyraźnie zauważalny."
RTV,GPS,"GPS działa dobrze na krótszych trasach, ale na dłuższych zdarza się, że sygnał się gubi. Aktualizacja map jest czasochłonna i kosztowna, co dla wielu osób może być problemem."
Sport,Białko WPC 111,"Białko w porządku, ale nie wyróżnia się niczym szczególnym na tle konkurencji."
Odzież,Koszulka,"Spełnia podstawowe oczekiwania, choć krój mógłby być bardziej dopracowany. "
Zegarki i biżuteria,Bransoletka,"Jest OK, ale nie jest to produkt dla osób szukających trwałości."
Zegarki i biżuteria,Naszyjnik,"Naszyjnik wygląda zupełnie inaczej niż na zdjęciach. Odcień różowego jest bardziej brzoskwiniowy, a zapięcie jest nieintuicyjne, długo zajęło mi, aby domyślić się jak ono działa."
RTV,słuchawki,"Do codziennego użytku są wystarczające, ale dla audiofila to za mało."
telefony,Sony Ericsson K750i ,"Telefon ma kilka funkcji, ale dżojstik szybko przestaje działać."
AGD,żelazko,"Szybko się nagrzewa, a funkcja pary radzi sobie świetnie z trudnymi zagnieceniami. "
Sport,Rakieta do Squasha,"Materiał, z którego zrobiona jest rakieta, wygląda tanio i łatwo się niszczy."
AGD,odkurzacz,"Sprzęt przeciętny, ale hałasuje jak odkurzacze sprzed dekady. "
Odzież,Koszulka,"Koszulka jest rewelacyjna, świetny materiał i idealny krój."
Odzież,Koszulka,"Koszulka jest po prostu rewelacyjna. Świetnie wygląda, jest bardzo wygodna i wykonana z wysokiej jakości materiałów. Po wielu praniach wciąż wygląda jak nowa, a kolor jest tak samo intensywny. To mój ulubiony produkt w szafie! "
Sport,Białko WPC 119,"To białko jest w miarę OK, choć ma kilka wad. Smak jest znośny, ale konsystencja po rozpuszczeniu mogłaby być bardziej kremowa. Dobrze sprawdza się jako suplement, ale na rynku są lepsze opcje. "
RTV,słuchawki,"Słuchawki są wygodne, ale kabel mógłby być lepszy."
Zegarki i biżuteria,Zegarek,"Sprawdza się jak na razie bardzo dobrze, aczkolwiek na termometr i kompas nie można za bardzo liczyć. Nie działają poprawnie "
RTV,GPS,"Bateria wytrzymuje tylko kilka minut bez zasilania, co jest kompletnie niepraktyczne."
AGD,lodówka,"Lodówka spełnia wszystkie moje oczekiwania. Jest bardzo cicha, co w przypadku otwartej kuchni jest dużym plusem. Chłodzenie jest równomierne, a zamrażarka działa perfekcyjnie. Zdecydowanie polecam!"
Odzież,Koszulka,Koszulki spełniają całkowicie moje oczekiwania pod każdym względem 
telefony,Sony Ericsson K750i ,"To przeciętny sprzęt, działa, ale dżojstik jest niewygodny."
AGD,odkurzacz,"Nie zachwyca, ale do podstawowego użytku może być. "
Sport,Białko WPC 121,"Smak białka jest bardzo dobry, a rozpuszczalność na wysokim poziomie."
Odzież,Torebka,"Materiał jest trwały, a detale starannie wykończone, polecam każdemu."
Odzież,Botki,Fatalna jakość obuwia ! Po jednym dniu buty się rozkleiły. Nie polecam. 
Zegarki i biżuteria,Zegarek,"Zegarek działa poprawnie, choć ma swoje wady. Termometr i kompas są mało dokładne, a alarm jest zbyt cichy. Mechanizm jest w porządku, ale bransoleta wygląda na dość delikatną. Ogólnie zegarek spełnia podstawowe funkcje, ale nie wyróżnia się na tle konkurencji."
telefony,Samsung B2710 SOLID ,"Telefon jest bardzo solidny i świetnie nadaje się do pracy w trudnych warunkach. Bateria trzyma długo, a wytrzymała obudowa sprawia, że upadki nie są problemem. Brakuje może nowoczesnych funkcji, ale jako sprzęt do pracy jest niezawodny."
Zegarki i biżuteria,Naszyjnik,"To najlepszy naszyjnik, jaki miałam – piękny i bardzo trwały."
RTV,telewizor,"Bardzo dobry sprzęt za rozsądną cenę. Obraz w jakości 4K jest rewelacyjny, a dźwięk spełnia moje oczekiwania. Funkcje online działają płynnie, a telewizor jest łatwy w obsłudze."
Odzież,Botki,"Nie polecam tych butów nikomu. Podszewka wystaje na zewnątrz, co wygląda bardzo nieestetycznie, szczególnie w jasnych modelach. Do tego rozkleiły się po jednym dniu użytkowania, co sprawia, że są totalnie niepraktyczne."
Odzież,Torebka,"Produkt nie spełnia oczekiwań, jakość wykończenia jest bardzo niska."
Odzież,Torebka,"Wygląda elegancko, ale nie jest zbyt praktyczna na co dzień."
Sport,Rowerek do ćwiczeń,"Produkt nie nadaje się do użytku. Po kilku dniach użytkowania pasek oporowy uległ całkowitemu przetarciu, a komputerek zaczął się wyłączać. Cała konstrukcja jest niestabilna, a montaż był bardzo trudny. "
AGD,lodówka,Totalna porażka! 
Odzież,Torebka,"Jestem zachwycona, torebka jest solidna i wygląda przepięknie."
RTV,GPS,"Mapa ładuje się poprawnie, choć interfejs mógłby być bardziej intuicyjny."
Sport,Rowerek do ćwiczeń,"Rowerek jest w porządku, choć ma swoje wady. Konstrukcja jest lekka, co sprawia, że czasem staje się niestabilny. Komputerek działa poprawnie, choć oferuje tylko podstawowe funkcje. Dobry wybór dla początkujących lub osób szukających budżetowego sprzętu."
Odzież,Torebka,"Kupiłam tę torebkę, licząc na solidność, ale niestety bardzo się rozczarowałam. Ramiączka odpinają się przy najmniejszym obciążeniu, a materiał wygląda, jakby miał się zaraz rozpaść. Zdecydowanie nie polecam tego modelu."
Zegarki i biżuteria,Bransoletka,"To przyzwoita bransoletka, która dobrze prezentuje się na ręce, ale trwałość pozostawia trochę do życzenia. Kamienie są delikatne, a zapięcie wymaga ostrożnego obchodzenia się. Ogólnie jestem zadowolona, ale spodziewałam się nieco lepszej jakości. "
Odzież,Koszulka,"Koszulka nosi się bardzo dobrze, a materiał jest miękki i przewiewny."
AGD,żelazko,"Produkt działa, ale jest bardzo awaryjny. "
AGD,lodówka,"Produkt działa poprawnie, ale głośność pracy jest trochę za wysoka. "
