id,kategoria,produkt,opinia,liczba gwiazdek,klasyfikacja opinii
1,AGD,żelazko,"Użytkuję żelazko ok.5 lat. Niestety, ale z perspektywy czasu nie poleciłabym go. Pod koniec gwarancji żelazko było w serwisie, ponieważ nie wytwarzało pary oraz przycisk wyrzutu pary nie odbijał do pozycji wyjściowej. Niestety problem notorycznie się powtarza, ponieważ przycisk znowu nie odbija. Jest to chyba część, której termin przydatności to ok.2 lat... Para z żelazka, pomimo czyszczenia, idzie słabo i ubrań nie da się idealnie wyprasować.",2,negatywna
2,AGD,żelazko,"Żelazko godne polecenia, bardzo dobra cena, a długi 3-metrowy kabel jest dodatkowym atutem. Odpowiedni ciężar ułatwia prasowanie. Mocny wyrzut pary. Bardzo ładny design. Po sprawdzeniu jednego kupiłam drugie na prezent. Naprawdę gorąco polecam!",5,pozytywna
3,AGD,żelazko,działa jak powinno,4,pozytywna
4,AGD,żelazko,"Jak na razie żelazko zostało użyte przeze mnie tylko raz i jestem zadowolona z jakości wyprasowanej koszuli. Fajne jest w nim też to, że na żelazku znajduję się lista materiałów i odpowiednio przyporządkowane kropeczki dot. temperatury prasowania.",3,neutralna
5,AGD,żelazko,"Żelazko bardzo dobre, ale jakoś wykonania poszczególnych elementów nie wróży długiego 'żywota' tego produktu. Mam nadzieję, że się mylę. Cena adekwatna do jakości.",3,neutralna
6,AGD,żelazko,"Mam za sobą ponad 50 tys wyprasowanych koszul, używałam różnych żelazek różnych producentów. Kiedyś żelazka Philips'a były bardzo dobrej jakości, chociaż zawsze należały do tych droższych. Dziś pozostała wysoka cena i wygląd. Żelazka nowej generacji poniszczyły koszule w sposób nie do uratowania - pozostawiają rdzawe kropki. Chciałabym podkreślić, że bardzo dbam o sprzęt i regularnie czyszczę. Myślę, że to wada technologiczna, która ""przepuszcza"" zanieczyszczenia przez kabel doprowadzający parę. Przez rok prowadziłam korespondencję z firmą Philips. Niestety w tonie ""my wiemy lepiej"" i braku dbałości o dobrą opinię.",1,negatywna
7,AGD,odkurzacz,"Po krótkim okresie używania doszło do wytarcia elementów metalowych na spodniej stronie ssawko-szczotki. Wytarte ostre krawędzie spowodowały zniszczenie i porysowanie odkurzanej powierzchni. Elementy te są po prostu niebezpieczne. Sposób ich montażu jest taki, że po wytarciu odstają ostre krawędzie i bardzo łatwo się nimi skaleczyć.",2,negatywna
8,AGD,odkurzacz,"Używam go od kilku lat. Był kupiony jako odkurzacz z filtrem wodnym. Do tej pory zero problemów. Z wad: trochę ciężki z woda(problem dla zony nie dla mnie), mógł być dłuższy przewód (stale dopinam przedłużacz 2m), rolki w szczotce zaczęły spadać (wstawiłem długą śrubę jako osokę i problem znikł), oryginalna dysza dużej ssawy nie rozpylała wody tylko lala strumieniem w jeden pkt. (odpowiednie uformowanie końcówki i jest ok). Dopracowanie tych rzeczy i dałbym 6 a tak tylko 5. Polecam.",5,pozytywna
9,AGD,odkurzacz,"mały, lekki odkurzacz, spełnia oczekiwania",4,pozytywna
10,AGD,odkurzacz,"Produkt używam od tygodnia. Na najmniejszej mocy bardzo cichy. Turboszczotka dobra, ale do dywanów z długim włosiem, do raczej zbitych nie ma potrzeby jej używać. Na największej mocy udaje mu się wciągnąć włosy z dywanu. W miarę lekki i zwrotny. Kawalerkę można odkurzyć bez przełączania kabla do innego gniazdka :) także długość kabla ok. Podsumowując, po prostu zwykły odkurzacz :)",3,neutralna
